,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
100453,115453,Male,Loyal Customer,28,Business travel,Eco,1020,1,4,4,4,1,2,1,1,2,5,3,3,3,1,0,0.0,dissatisfied,Churn
88184,134075,Male,Loyal Customer,39,Business travel,Business,3297,2,1,1,1,2,2,2,2,2,1,2,3,2,2,5,1.0,dissatisfied,Churn
58589,121444,Female,Loyal Customer,66,Personal Travel,Eco,689,4,4,4,3,4,5,5,5,5,4,5,3,5,3,3,0.0,dissatisfied,Not Churn
34230,48298,Female,Loyal Customer,14,Business travel,Business,3588,1,2,2,2,1,1,1,1,4,1,3,3,3,1,32,9.0,dissatisfied,Not Churn
79287,64414,Male,Loyal Customer,55,Personal Travel,Eco,2402,1,2,1,4,1,2,2,3,2,3,4,2,3,2,0,3.0,dissatisfied,Churn
29315,54043,Male,Loyal Customer,36,Business travel,Business,789,4,3,3,3,4,3,2,4,4,3,4,1,4,3,0,13.0,dissatisfied,Churn
44947,157574,Male,Loyal Customer,62,Business travel,Eco,257,3,1,1,1,3,3,3,3,4,5,3,2,4,3,6,0.0,dissatisfied,Churn
102278,59521,Male,Loyal Customer,38,Business travel,Eco,300,3,3,5,3,3,3,3,3,1,2,3,4,3,3,0,0.0,dissatisfied,Churn
71010,134344,Male,disloyal Customer,26,Business travel,Business,842,2,2,2,5,4,2,4,4,5,3,4,5,4,4,0,9.0,dissatisfied,Churn
31440,83776,Male,Loyal Customer,29,Business travel,Business,1211,2,2,2,2,2,2,2,2,2,3,4,1,4,2,27,23.0,dissatisfied,Not Churn
29758,47012,Male,disloyal Customer,20,Business travel,Eco,429,1,4,1,3,1,1,1,3,3,4,4,1,4,1,184,193.0,dissatisfied,Churn
35538,150352,Male,disloyal Customer,45,Business travel,Eco,967,4,4,4,4,5,4,5,5,2,2,4,1,4,5,0,0.0,dissatisfied,Churn
23952,98996,Male,Loyal Customer,53,Business travel,Business,2218,3,2,2,2,5,2,4,3,3,3,3,2,3,2,0,0.0,dissatisfied,Churn
63825,114642,Female,disloyal Customer,30,Business travel,Eco,526,2,4,2,3,2,2,2,2,4,5,3,3,3,2,22,22.0,dissatisfied,Churn
75993,139620,Female,Loyal Customer,56,Personal Travel,Eco,440,2,5,2,2,3,4,5,2,2,2,2,3,2,5,10,1.0,dissatisfied,Churn
14329,81152,Female,Loyal Customer,62,Personal Travel,Eco,224,2,4,2,4,4,5,3,5,5,2,3,4,5,3,0,0.0,dissatisfied,Churn
91424,89588,Male,disloyal Customer,8,Business travel,Eco,2419,2,2,2,4,2,4,4,3,1,3,3,4,3,4,0,23.0,dissatisfied,Churn
40180,158869,Male,Loyal Customer,23,Business travel,Business,1888,4,5,5,5,4,3,4,4,1,3,4,4,4,4,0,0.0,dissatisfied,Churn
91125,53398,Male,Loyal Customer,30,Personal Travel,Eco,1092,2,3,2,2,2,2,2,2,4,4,2,3,4,2,8,5.0,dissatisfied,Churn
78063,153159,Male,Loyal Customer,33,Business travel,Business,1716,4,5,2,5,4,4,4,4,2,2,3,3,4,4,0,0.0,dissatisfied,Churn
36036,44508,Female,disloyal Customer,30,Business travel,Eco,701,3,3,3,4,4,3,4,4,4,4,4,3,4,4,23,47.0,dissatisfied,Not Churn
57751,96708,Male,Loyal Customer,33,Business travel,Business,1290,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,1.0,dissatisfied,Churn
24049,128954,Male,disloyal Customer,30,Business travel,Eco,1541,4,4,4,4,4,3,5,2,2,4,3,5,4,5,167,156.0,dissatisfied,Churn
33992,116989,Male,Loyal Customer,49,Personal Travel,Eco,484,2,4,2,2,5,2,5,5,3,4,5,3,5,5,14,12.0,dissatisfied,Not Churn
79739,71062,Female,Loyal Customer,53,Personal Travel,Eco,395,2,5,2,2,5,5,4,3,3,2,3,4,3,4,19,15.0,dissatisfied,Churn
32193,92321,Female,Loyal Customer,65,Personal Travel,Eco,1504,1,5,1,4,2,5,2,2,2,1,2,3,2,4,14,3.0,dissatisfied,Churn
102072,42670,Female,disloyal Customer,38,Business travel,Business,473,3,3,3,2,2,3,2,2,5,3,5,5,5,2,0,40.0,dissatisfied,Churn
33639,52454,Male,Loyal Customer,31,Business travel,Business,2935,3,5,5,5,3,2,3,3,4,4,3,2,3,3,18,37.0,dissatisfied,Churn
65803,83843,Male,Loyal Customer,26,Business travel,Eco Plus,1464,3,2,2,2,3,3,4,3,1,4,4,4,4,3,5,0.0,dissatisfied,Churn
17968,68423,Male,disloyal Customer,35,Business travel,Eco,102,4,0,4,3,5,4,5,5,1,5,4,1,2,5,0,0.0,dissatisfied,Not Churn
9974,131141,Female,Loyal Customer,26,Personal Travel,Eco,248,3,4,3,3,2,3,3,2,4,3,5,3,5,2,15,11.0,dissatisfied,Churn
21490,80143,Female,Loyal Customer,52,Personal Travel,Eco,397,3,5,3,2,2,4,4,5,5,3,5,3,5,4,0,0.0,dissatisfied,Churn
30888,113841,Female,disloyal Customer,24,Business travel,Eco,874,2,2,2,3,5,2,5,5,1,2,4,3,3,5,0,0.0,dissatisfied,Churn
59813,45578,Male,Loyal Customer,38,Business travel,Eco,288,2,2,2,2,2,2,2,2,2,1,4,1,4,2,7,0.0,dissatisfied,Not Churn
31479,72370,Male,disloyal Customer,36,Business travel,Business,280,2,2,2,4,1,2,1,1,1,1,2,3,3,1,0,0.0,dissatisfied,Churn
47279,122952,Female,disloyal Customer,43,Business travel,Eco,692,1,1,1,4,1,1,1,1,3,1,4,3,3,1,6,7.0,dissatisfied,Churn
89009,58521,Female,disloyal Customer,36,Business travel,Eco,143,2,1,2,3,3,2,3,3,1,3,2,2,3,3,23,23.0,dissatisfied,Churn
62621,156964,Male,disloyal Customer,22,Business travel,Eco,992,1,0,0,1,4,0,4,4,5,3,4,3,4,4,21,18.0,dissatisfied,Not Churn
53694,125836,Female,Loyal Customer,17,Personal Travel,Eco,1076,3,3,3,4,3,3,3,3,3,4,4,3,3,3,0,0.0,dissatisfied,Churn
47727,161700,Male,Loyal Customer,19,Personal Travel,Eco,226,3,5,3,5,3,3,3,3,5,3,5,3,4,3,0,0.0,dissatisfied,Churn
63226,91632,Male,Loyal Customer,46,Personal Travel,Eco,1739,3,1,3,4,2,3,2,2,4,4,2,2,4,2,0,1.0,dissatisfied,Churn
53682,63167,Female,Loyal Customer,16,Business travel,Eco Plus,867,4,1,3,1,4,4,2,4,1,4,3,4,3,4,0,0.0,dissatisfied,Not Churn
12443,118572,Female,Loyal Customer,50,Business travel,Business,509,2,2,2,2,5,4,4,2,2,2,2,4,2,1,0,0.0,dissatisfied,Churn
64277,136326,Female,Loyal Customer,44,Personal Travel,Eco,725,4,2,4,4,3,4,4,3,3,4,3,3,3,1,0,0.0,dissatisfied,Churn
83754,61142,Female,Loyal Customer,48,Business travel,Business,907,4,4,4,4,3,2,3,4,4,4,4,3,4,1,0,0.0,dissatisfied,Churn
30631,151749,Female,disloyal Customer,34,Business travel,Eco,390,1,3,2,3,4,2,4,4,4,2,4,3,4,4,12,10.0,dissatisfied,Not Churn
23545,144861,Male,Loyal Customer,49,Personal Travel,Eco,591,2,0,2,3,2,2,2,2,5,2,5,5,4,2,0,0.0,dissatisfied,Churn
95983,55476,Female,Loyal Customer,16,Personal Travel,Eco,694,3,4,3,4,3,5,5,4,3,5,4,5,4,5,201,180.0,dissatisfied,Churn
13516,157042,Female,disloyal Customer,23,Business travel,Eco,992,1,1,1,3,3,1,5,3,3,5,5,5,5,3,40,130.0,dissatisfied,Churn
74772,67259,Female,disloyal Customer,21,Business travel,Eco,991,3,3,3,4,4,3,5,4,4,4,4,2,3,4,4,0.0,dissatisfied,Not Churn
36570,116852,Female,Loyal Customer,70,Personal Travel,Eco,920,2,5,2,4,3,4,5,4,4,2,4,5,4,3,0,1.0,dissatisfied,Churn
37449,165043,Female,Loyal Customer,56,Business travel,Eco,2248,3,2,2,2,5,3,3,3,3,3,3,4,3,1,8,0.0,dissatisfied,Churn
43980,164673,Male,disloyal Customer,61,Business travel,Business,338,4,4,4,5,5,4,5,5,5,5,4,5,4,5,0,0.0,dissatisfied,Churn
59047,118596,Female,Loyal Customer,38,Personal Travel,Eco,502,2,5,4,1,1,4,2,1,3,2,4,4,5,1,28,19.0,dissatisfied,Churn
80440,56112,Male,Loyal Customer,56,Personal Travel,Business,589,1,1,0,2,5,1,2,4,4,0,4,4,4,4,17,4.0,dissatisfied,Churn
102495,129842,Male,Loyal Customer,52,Personal Travel,Eco,689,2,4,2,3,3,2,3,3,1,5,3,1,3,3,0,0.0,dissatisfied,Churn
81299,42565,Female,Loyal Customer,48,Personal Travel,Eco,296,4,4,4,5,4,4,5,5,5,4,5,3,5,3,45,69.0,dissatisfied,Churn
17008,82080,Male,Loyal Customer,56,Personal Travel,Eco,563,4,4,4,1,3,4,3,3,5,4,4,4,4,3,0,0.0,dissatisfied,Not Churn
64275,66369,Female,Loyal Customer,47,Business travel,Business,3752,1,4,4,4,2,3,4,1,1,1,1,1,1,1,9,95.0,dissatisfied,Not Churn
103396,115063,Male,Loyal Customer,46,Business travel,Business,2834,2,4,2,4,5,4,3,2,2,2,2,3,2,1,0,0.0,dissatisfied,Not Churn
62483,113914,Female,Loyal Customer,30,Personal Travel,Eco,696,2,5,2,1,2,2,2,2,5,3,5,5,4,2,0,0.0,dissatisfied,Churn
85455,98966,Female,disloyal Customer,35,Business travel,Business,2338,2,2,2,4,3,2,3,3,5,5,5,5,5,3,8,3.0,dissatisfied,Churn
99768,96699,Female,Loyal Customer,30,Personal Travel,Eco Plus,862,4,5,4,5,2,4,2,2,5,2,4,5,5,2,4,0.0,dissatisfied,Churn
48648,86494,Male,Loyal Customer,54,Business travel,Eco,77,2,1,4,4,3,2,3,3,2,5,4,4,4,3,4,6.0,dissatisfied,Churn
3024,114058,Male,Loyal Customer,17,Personal Travel,Business,214,4,3,4,4,4,4,4,4,4,1,3,2,4,4,0,16.0,dissatisfied,Churn
84233,82075,Female,Loyal Customer,14,Personal Travel,Eco,809,4,2,4,4,3,4,3,3,1,5,3,3,3,3,13,32.0,dissatisfied,Churn
98906,97829,Male,Loyal Customer,65,Business travel,Business,1379,2,5,5,5,5,3,3,2,2,2,2,3,2,2,4,1.0,dissatisfied,Not Churn
90176,148837,Female,disloyal Customer,22,Business travel,Eco,671,3,3,3,4,3,3,4,3,4,2,3,1,3,3,31,15.0,dissatisfied,Not Churn
31205,51609,Female,Loyal Customer,32,Personal Travel,Eco,399,1,4,1,4,1,1,1,1,4,4,4,5,5,1,0,0.0,dissatisfied,Churn
17117,57932,Male,Loyal Customer,39,Business travel,Eco,341,2,3,3,3,2,2,2,2,3,3,3,1,4,2,0,0.0,dissatisfied,Churn
946,159843,Male,Loyal Customer,53,Personal Travel,Eco,214,2,2,2,3,4,2,4,4,3,4,2,4,2,4,0,0.0,dissatisfied,Churn
55453,124649,Male,Loyal Customer,27,Personal Travel,Eco,515,4,5,4,1,3,4,3,3,5,4,5,4,5,3,18,0.0,dissatisfied,Not Churn
41097,57442,Male,Loyal Customer,70,Personal Travel,Eco,620,2,4,2,3,2,2,2,2,3,4,5,5,5,2,14,10.0,dissatisfied,Not Churn
59609,151499,Male,disloyal Customer,27,Business travel,Eco,417,1,2,1,4,3,1,5,3,3,1,3,2,4,3,37,35.0,dissatisfied,Churn
62016,107068,Male,disloyal Customer,22,Business travel,Eco,612,3,1,3,4,3,3,3,3,2,1,4,2,3,3,0,0.0,dissatisfied,Churn
71630,115623,Female,Loyal Customer,18,Personal Travel,Business,749,3,4,3,3,4,3,4,4,4,4,5,3,4,4,0,0.0,dissatisfied,Not Churn
63011,159755,Male,Loyal Customer,33,Personal Travel,Business,214,4,0,4,3,3,4,3,3,4,3,5,3,4,3,0,0.0,dissatisfied,Not Churn
58996,54230,Male,disloyal Customer,24,Business travel,Eco,610,2,0,2,4,3,2,3,3,4,5,2,2,1,3,0,0.0,dissatisfied,Churn
99104,70081,Female,Loyal Customer,53,Personal Travel,Eco,1188,4,1,4,4,4,2,4,2,2,4,1,2,2,2,0,0.0,dissatisfied,Churn
8552,51311,Male,Loyal Customer,41,Personal Travel,Eco,416,3,4,3,3,3,3,3,3,2,4,3,5,2,3,0,0.0,dissatisfied,Churn
4577,161066,Female,Loyal Customer,45,Personal Travel,Eco,728,2,3,2,4,2,4,1,5,5,2,5,4,5,3,16,27.0,dissatisfied,Churn
42506,79087,Female,disloyal Customer,25,Business travel,Eco,192,1,5,1,4,5,1,1,5,5,1,3,3,2,5,0,0.0,dissatisfied,Not Churn
78074,107762,Female,Loyal Customer,33,Business travel,Business,3254,1,5,5,5,3,1,2,1,1,1,1,3,1,1,36,35.0,dissatisfied,Churn
2055,141167,Male,disloyal Customer,23,Business travel,Eco,361,2,0,2,4,4,2,4,4,3,3,5,4,4,4,5,0.0,dissatisfied,Churn
46656,148220,Male,Loyal Customer,50,Personal Travel,Eco,1491,3,4,4,3,1,4,1,1,4,2,3,3,4,1,0,0.0,dissatisfied,Churn
69637,163366,Female,Loyal Customer,68,Personal Travel,Eco,1460,4,5,4,1,3,4,4,5,5,4,3,4,5,3,52,36.0,dissatisfied,Churn
93898,50886,Male,Loyal Customer,41,Business travel,Eco,463,1,1,1,1,1,1,1,1,1,4,4,1,4,1,0,0.0,dissatisfied,Not Churn
70847,39425,Male,disloyal Customer,30,Personal Travel,Eco,479,3,5,3,1,4,3,1,4,5,2,4,5,2,4,41,24.0,dissatisfied,Not Churn
88773,93723,Female,Loyal Customer,28,Personal Travel,Eco,1597,4,5,4,3,4,4,2,4,4,3,4,3,4,4,0,0.0,dissatisfied,Churn
35664,54500,Female,disloyal Customer,25,Business travel,Eco,169,1,5,1,4,1,1,5,1,5,1,2,5,4,1,59,54.0,dissatisfied,Churn
62468,76455,Female,disloyal Customer,38,Business travel,Eco Plus,347,2,2,2,3,5,2,5,5,3,4,3,4,4,5,69,52.0,dissatisfied,Churn
44826,56196,Male,Loyal Customer,21,Personal Travel,Eco,473,3,4,3,3,5,3,4,5,1,4,4,1,4,5,0,0.0,dissatisfied,Not Churn
40695,54759,Female,Loyal Customer,48,Personal Travel,Eco,285,2,5,2,3,3,4,5,4,4,2,4,4,4,4,0,0.0,dissatisfied,Churn
49633,97111,Female,Loyal Customer,50,Personal Travel,Eco,888,1,1,1,1,2,2,2,1,1,1,4,3,1,4,0,3.0,dissatisfied,Not Churn
96137,80554,Male,Loyal Customer,30,Business travel,Business,2845,3,3,3,3,3,2,3,3,2,2,4,2,3,3,118,107.0,dissatisfied,Not Churn
11380,142919,Female,Loyal Customer,65,Personal Travel,Eco Plus,829,3,2,3,2,2,2,3,2,2,3,2,4,2,2,0,0.0,dissatisfied,Churn
55286,87979,Female,Loyal Customer,63,Personal Travel,Eco Plus,751,2,5,2,4,2,1,1,4,4,5,4,1,4,1,168,180.0,dissatisfied,Not Churn
85670,145892,Male,Loyal Customer,34,Personal Travel,Eco Plus,587,3,5,3,3,5,3,4,5,3,2,4,3,5,5,0,0.0,dissatisfied,Churn
71912,120123,Male,Loyal Customer,32,Business travel,Business,321,3,5,5,5,3,3,3,3,1,2,4,2,4,3,0,12.0,dissatisfied,Churn
35463,152442,Male,Loyal Customer,33,Personal Travel,Eco,296,2,5,2,3,5,2,5,5,4,4,4,5,5,5,6,0.0,dissatisfied,Churn
97629,137141,Male,Loyal Customer,36,Business travel,Eco,564,3,1,1,1,3,3,3,3,3,5,2,3,2,3,6,13.0,dissatisfied,Not Churn
263,156294,Female,Loyal Customer,46,Personal Travel,Business,119,4,0,4,1,5,5,4,4,4,4,4,3,4,3,13,32.0,dissatisfied,Churn
62475,100977,Male,Loyal Customer,41,Business travel,Business,1912,4,3,3,3,1,2,2,4,4,3,4,3,4,3,74,65.0,dissatisfied,Churn
59464,126096,Female,Loyal Customer,7,Personal Travel,Eco,1306,4,5,4,3,1,4,1,1,4,4,5,5,4,1,0,0.0,dissatisfied,Churn
41969,76039,Female,Loyal Customer,64,Personal Travel,Eco Plus,272,4,0,4,1,3,4,3,1,1,4,2,5,1,3,4,0.0,dissatisfied,Churn
79586,64855,Female,Loyal Customer,40,Personal Travel,Eco,2717,1,4,1,2,1,3,5,3,2,5,5,5,3,5,0,18.0,dissatisfied,Churn
39883,161274,Female,disloyal Customer,23,Business travel,Eco,1291,3,3,3,3,4,3,4,4,1,5,4,4,4,4,0,0.0,dissatisfied,Churn
17748,113572,Female,Loyal Customer,50,Personal Travel,Eco Plus,588,2,4,2,5,2,4,5,1,1,2,1,3,1,5,0,0.0,dissatisfied,Not Churn
50990,45598,Female,Loyal Customer,11,Personal Travel,Eco,288,3,4,3,2,4,3,4,4,3,3,5,4,4,4,0,0.0,dissatisfied,Churn
5811,131278,Male,Loyal Customer,8,Personal Travel,Eco,192,4,4,4,3,1,4,1,1,4,5,4,5,5,1,3,0.0,dissatisfied,Churn
25601,60863,Male,Loyal Customer,7,Personal Travel,Eco Plus,406,1,5,1,2,3,1,3,3,5,4,5,5,5,3,0,0.0,dissatisfied,Churn
96534,138982,Male,Loyal Customer,30,Personal Travel,Eco,423,4,4,3,3,5,3,5,5,1,5,4,4,3,5,34,24.0,dissatisfied,Not Churn
40426,73811,Female,Loyal Customer,7,Personal Travel,Eco,1028,1,4,1,2,2,1,3,2,3,2,4,5,4,2,5,1.0,dissatisfied,Not Churn
69537,159063,Female,disloyal Customer,33,Business travel,Business,631,3,3,3,1,3,3,3,3,3,2,4,4,5,3,0,0.0,dissatisfied,Churn
76605,131108,Female,disloyal Customer,20,Business travel,Eco,187,4,4,4,4,5,4,5,5,1,1,3,3,3,5,0,0.0,dissatisfied,Churn
85805,50122,Male,Loyal Customer,39,Personal Travel,Business,160,3,1,3,4,1,3,3,2,2,3,4,4,2,2,0,0.0,dissatisfied,Churn
47441,141078,Female,Loyal Customer,13,Personal Travel,Eco,1180,3,2,3,3,4,3,4,4,3,2,4,2,3,4,27,11.0,dissatisfied,Churn
71180,49679,Female,disloyal Customer,80,Business travel,Business,152,3,4,4,3,3,3,3,4,5,4,3,3,3,3,249,248.0,dissatisfied,Not Churn
18943,88783,Female,Loyal Customer,61,Personal Travel,Eco,160,4,4,4,3,2,4,4,4,4,4,4,3,4,5,0,0.0,dissatisfied,Churn
26560,125332,Female,Loyal Customer,27,Personal Travel,Eco,1947,4,2,4,1,1,4,1,1,1,4,1,4,2,1,3,0.0,dissatisfied,Churn
28116,84887,Male,disloyal Customer,33,Business travel,Business,373,4,4,4,4,5,4,5,5,1,3,3,3,4,5,0,3.0,dissatisfied,Churn
20202,87872,Female,Loyal Customer,23,Personal Travel,Eco,455,2,4,5,3,2,5,1,2,3,2,5,4,5,2,0,0.0,dissatisfied,Churn
19061,148248,Female,Loyal Customer,23,Business travel,Eco Plus,1024,3,5,5,5,3,2,3,3,3,1,4,1,4,3,20,13.0,dissatisfied,Not Churn
90548,134970,Male,Loyal Customer,53,Personal Travel,Eco,444,3,5,3,1,5,3,5,5,4,2,5,4,5,5,41,28.0,dissatisfied,Not Churn
53018,135361,Female,disloyal Customer,51,Business travel,Business,541,1,1,1,1,3,1,3,3,4,2,4,3,5,3,39,30.0,dissatisfied,Not Churn
75091,152486,Male,Loyal Customer,18,Personal Travel,Eco,446,3,5,3,3,3,3,2,3,4,5,5,3,4,3,29,24.0,dissatisfied,Churn
47261,119201,Male,Loyal Customer,42,Business travel,Eco,957,1,0,0,3,1,1,1,1,4,1,4,3,3,1,0,0.0,dissatisfied,Churn
42516,138458,Female,disloyal Customer,27,Business travel,Eco,223,2,3,2,3,2,2,2,2,1,2,4,1,4,2,38,32.0,dissatisfied,Not Churn
44368,86990,Male,Loyal Customer,67,Personal Travel,Eco,363,3,5,3,3,5,3,5,5,4,4,4,5,4,5,5,2.0,dissatisfied,Churn
47644,52632,Male,disloyal Customer,38,Business travel,Business,282,1,1,1,4,1,1,1,1,3,4,5,3,2,1,26,21.0,dissatisfied,Churn
8387,127622,Female,disloyal Customer,21,Business travel,Eco,859,3,3,3,3,3,3,3,3,4,2,3,1,4,3,0,0.0,dissatisfied,Churn
30558,106684,Male,disloyal Customer,24,Business travel,Eco,1258,2,2,2,2,2,2,2,2,5,3,4,3,4,2,0,0.0,dissatisfied,Churn
103119,81129,Male,Loyal Customer,55,Business travel,Business,3178,1,5,5,5,5,4,4,4,4,4,1,4,4,2,4,10.0,dissatisfied,Churn
94406,95628,Male,Loyal Customer,63,Personal Travel,Eco,811,1,3,0,2,5,0,5,5,2,3,5,2,3,5,0,0.0,dissatisfied,Churn
48598,84123,Female,disloyal Customer,27,Business travel,Eco Plus,550,4,3,3,2,3,3,3,3,5,4,1,1,2,3,0,0.0,dissatisfied,Churn
22685,79252,Female,Loyal Customer,49,Personal Travel,Eco,236,4,4,4,2,4,5,4,4,4,4,4,3,4,3,0,0.0,dissatisfied,Not Churn
79259,86747,Female,Loyal Customer,14,Personal Travel,Eco,373,2,0,2,4,2,2,2,2,4,4,4,5,5,2,0,0.0,dissatisfied,Churn
62575,149824,Male,Loyal Customer,18,Personal Travel,Eco,414,2,2,2,3,3,2,3,3,4,1,4,2,4,3,0,0.0,dissatisfied,Churn
94251,162908,Female,Loyal Customer,54,Personal Travel,Eco Plus,2402,1,4,1,2,4,5,4,2,2,1,2,1,2,3,0,0.0,dissatisfied,Churn
84334,90342,Male,Loyal Customer,43,Business travel,Eco Plus,1400,4,1,1,1,4,4,4,4,3,2,3,2,3,4,0,0.0,dissatisfied,Churn
101830,122050,Female,Loyal Customer,51,Personal Travel,Eco,761,3,4,3,4,3,4,5,1,1,3,1,5,1,4,17,14.0,dissatisfied,Churn
70068,71626,Male,Loyal Customer,24,Personal Travel,Eco,1074,1,5,1,1,5,1,5,5,3,2,5,3,4,5,51,39.0,dissatisfied,Churn
