,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
29286,148012,Male,Loyal Customer,11,Business travel,Business,3338,5,5,5,5,4,4,4,4,5,3,5,3,5,4,0,0.0,satisfied,Converted
37428,163977,Female,Loyal Customer,41,Business travel,Business,2139,4,4,4,4,3,4,4,4,4,4,4,3,4,4,0,0.0,satisfied,Not Converted
77067,171275,Female,Loyal Customer,41,Business travel,Business,534,1,1,1,1,4,4,4,4,4,4,4,5,4,5,20,23.0,satisfied,Converted
71519,116590,Female,Loyal Customer,74,Business travel,Eco Plus,174,5,1,1,1,1,3,2,5,5,5,5,5,5,2,0,0.0,satisfied,Not Converted
5898,120226,Female,Loyal Customer,59,Personal Travel,Business,86,4,4,4,4,5,4,4,4,4,4,4,4,4,1,0,0.0,satisfied,Converted
53634,158203,Female,Loyal Customer,45,Business travel,Business,2737,4,4,5,4,2,4,5,5,5,4,5,4,5,4,0,0.0,satisfied,Converted
41193,145780,Male,Loyal Customer,48,Business travel,Business,1464,4,4,4,4,3,3,3,3,2,4,5,3,4,3,134,118.0,satisfied,Not Converted
100086,192370,Male,Loyal Customer,47,Business travel,Business,1646,5,5,5,5,5,5,5,5,5,5,5,4,5,3,0,0.0,satisfied,Converted
84771,103514,Female,Loyal Customer,51,Business travel,Business,3331,4,4,4,4,4,2,5,4,4,4,4,4,4,2,33,34.0,satisfied,Converted
9564,117756,Female,Loyal Customer,27,Business travel,Eco Plus,692,0,1,1,2,1,1,1,1,2,1,2,5,2,1,0,51.0,satisfied,Converted
20340,93637,Male,Loyal Customer,36,Business travel,Business,3378,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
97363,153372,Male,Loyal Customer,50,Business travel,Business,1522,5,5,5,5,4,5,5,3,3,3,3,5,3,4,0,0.0,satisfied,Not Converted
29268,130495,Female,Loyal Customer,76,Business travel,Eco,346,5,3,3,3,1,2,2,5,5,5,5,3,5,1,0,0.0,satisfied,Converted
77155,188284,Male,Loyal Customer,58,Business travel,Business,651,4,4,4,4,2,5,5,4,4,4,4,3,4,3,21,23.0,satisfied,Converted
28181,77756,Male,Loyal Customer,44,Business travel,Business,315,5,5,3,5,5,4,4,4,4,4,4,5,4,4,69,72.0,satisfied,Converted
59243,150381,Male,Loyal Customer,36,Business travel,Business,356,5,1,5,5,3,4,5,3,3,3,3,4,3,5,0,0.0,satisfied,Converted
80145,108135,Male,Loyal Customer,13,Personal Travel,Eco Plus,1197,4,5,4,3,1,4,1,1,3,2,4,2,5,1,0,0.0,satisfied,Converted
86108,192993,Female,Loyal Customer,51,Business travel,Eco,536,3,5,5,5,1,1,2,3,3,3,3,3,3,2,0,0.0,satisfied,Converted
30903,144296,Female,Loyal Customer,45,Business travel,Business,3979,2,2,2,2,5,4,4,3,3,3,3,5,3,3,0,0.0,satisfied,Converted
23797,193068,Male,Loyal Customer,39,Business travel,Business,328,1,1,1,1,4,4,4,5,5,4,5,3,5,4,0,0.0,satisfied,Converted
45879,116801,Male,Loyal Customer,26,Personal Travel,Eco,344,4,3,4,2,3,4,3,3,2,5,2,1,1,3,0,0.0,satisfied,Converted
49593,120363,Male,Loyal Customer,64,Business travel,Eco,86,4,1,1,1,4,4,4,4,5,1,1,1,4,4,0,29.0,satisfied,Converted
80738,136677,Female,disloyal Customer,24,Business travel,Eco Plus,247,5,0,5,3,2,5,2,2,4,5,1,5,3,2,0,0.0,satisfied,Converted
35831,93178,Male,Loyal Customer,54,Business travel,Business,352,2,2,2,2,1,3,1,5,5,5,5,4,5,2,0,0.0,satisfied,Converted
45123,195472,Male,Loyal Customer,51,Business travel,Business,653,3,3,3,3,2,2,3,5,5,5,5,1,5,4,0,0.0,satisfied,Converted
28228,170862,Male,Loyal Customer,54,Business travel,Business,1783,0,0,0,4,2,4,4,3,3,3,3,5,3,5,0,4.0,satisfied,Converted
89204,196792,Female,Loyal Customer,51,Business travel,Business,1440,5,5,5,5,5,4,5,3,3,4,3,3,3,3,0,18.0,satisfied,Converted
58155,154884,Male,Loyal Customer,47,Business travel,Business,946,3,3,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,satisfied,Not Converted
48330,143584,Male,Loyal Customer,51,Business travel,Business,594,3,3,3,3,2,5,4,4,4,4,4,4,4,4,0,0.0,satisfied,Converted
60249,105106,Female,Loyal Customer,25,Business travel,Business,3043,5,5,5,5,5,4,5,5,1,2,5,1,1,5,1,0.0,satisfied,Converted
13564,144414,Male,Loyal Customer,46,Personal Travel,Eco,1096,5,4,5,4,5,5,5,5,4,1,3,2,3,5,0,0.0,satisfied,Not Converted
32054,137065,Male,disloyal Customer,26,Business travel,Business,1021,0,0,0,1,3,0,5,3,3,5,4,3,4,3,0,0.0,satisfied,Converted
42840,87496,Male,Loyal Customer,32,Business travel,Eco,303,5,3,3,3,5,5,5,5,1,1,2,2,3,5,76,68.0,satisfied,Converted
21300,190573,Male,Loyal Customer,60,Business travel,Business,331,3,3,3,3,2,4,5,5,5,4,5,3,5,3,0,0.0,satisfied,Converted
39995,159660,Female,Loyal Customer,40,Business travel,Business,2480,3,3,3,3,2,5,4,5,5,5,5,5,5,5,2,2.0,satisfied,Converted
24343,143359,Female,Loyal Customer,58,Business travel,Business,1440,4,4,4,4,3,5,4,3,3,3,3,4,3,3,10,11.0,satisfied,Converted
15983,197216,Female,Loyal Customer,36,Business travel,Business,2126,2,2,2,2,5,4,4,4,4,4,4,5,4,3,0,0.0,satisfied,Converted
54516,183476,Female,Loyal Customer,29,Business travel,Business,1491,1,1,1,1,5,5,5,5,3,5,4,3,5,5,50,53.0,satisfied,Not Converted
73259,95950,Female,Loyal Customer,40,Business travel,Eco,813,5,4,4,4,5,5,5,5,2,4,1,1,5,5,0,0.0,satisfied,Converted
3769,84496,Female,Loyal Customer,23,Business travel,Business,2930,4,4,2,4,5,5,5,5,2,2,5,4,1,5,10,0.0,satisfied,Converted
52923,199711,Male,Loyal Customer,47,Business travel,Business,3788,1,1,1,1,5,4,5,4,4,4,4,3,4,4,101,102.0,satisfied,Converted
19494,75219,Female,Loyal Customer,40,Business travel,Business,3611,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0.0,satisfied,Converted
27400,120415,Female,Loyal Customer,47,Business travel,Business,3114,5,5,5,5,4,3,1,5,5,5,5,4,5,4,0,0.0,satisfied,Converted
36304,140367,Male,disloyal Customer,42,Business travel,Business,700,4,4,4,2,2,4,3,2,4,3,4,3,4,2,0,0.0,satisfied,Converted
6311,178295,Male,disloyal Customer,11,Business travel,Eco,577,5,0,5,4,3,5,3,3,3,2,4,3,5,3,1,0.0,satisfied,Converted
23179,201098,Male,Loyal Customer,60,Business travel,Business,2007,3,3,3,3,2,5,5,2,2,2,2,4,2,5,0,0.0,satisfied,Converted
77634,176330,Female,disloyal Customer,18,Business travel,Business,210,5,5,5,1,1,5,1,1,5,2,5,3,4,1,0,0.0,satisfied,Converted
56580,190665,Male,disloyal Customer,26,Business travel,Business,214,0,5,0,4,4,0,2,4,4,2,4,5,5,4,0,0.0,satisfied,Not Converted
58769,199578,Male,Loyal Customer,60,Business travel,Business,1788,5,5,5,5,2,5,5,4,4,4,4,5,4,5,0,0.0,satisfied,Converted
87947,168947,Female,Loyal Customer,41,Business travel,Business,675,4,4,4,4,3,4,4,5,5,5,5,3,5,5,0,0.0,satisfied,Converted
49247,109895,Male,Loyal Customer,53,Business travel,Business,2475,5,5,5,5,3,4,5,5,5,5,5,5,5,4,3,0.0,satisfied,Converted
49213,195400,Male,disloyal Customer,20,Business travel,Business,184,0,0,0,4,3,0,3,3,3,3,4,5,5,3,0,0.0,satisfied,Converted
82391,108774,Male,Loyal Customer,32,Business travel,Business,2271,2,2,2,2,5,5,5,5,5,3,4,3,2,5,32,2.0,satisfied,Converted
29615,197258,Male,Loyal Customer,54,Business travel,Business,3432,2,2,2,2,3,4,4,2,2,2,2,3,2,5,5,0.0,satisfied,Converted
13228,81224,Female,Loyal Customer,33,Business travel,Business,3214,5,5,5,5,5,4,4,4,4,4,4,3,4,4,16,15.0,satisfied,Not Converted
83882,129108,Male,Loyal Customer,16,Personal Travel,Eco,867,5,4,5,1,5,3,3,5,4,5,5,3,3,3,266,324.0,satisfied,Converted
52486,130691,Male,disloyal Customer,27,Business travel,Eco,918,5,5,5,3,5,1,1,5,3,3,4,1,1,1,0,0.0,satisfied,Converted
52097,76385,Female,Loyal Customer,48,Business travel,Business,502,2,2,4,2,3,4,5,5,5,5,5,5,5,5,0,0.0,satisfied,Not Converted
93646,165554,Female,Loyal Customer,41,Business travel,Business,239,2,2,2,2,4,5,5,4,4,4,4,5,4,5,2,0.0,satisfied,Converted
86558,146554,Female,Loyal Customer,44,Business travel,Business,1744,3,3,3,3,3,4,5,5,5,5,5,4,5,3,0,0.0,satisfied,Converted
4178,141937,Female,Loyal Customer,46,Business travel,Business,3017,4,4,3,4,4,4,5,3,3,3,3,3,3,5,0,0.0,satisfied,Converted
55275,102445,Female,Loyal Customer,20,Business travel,Eco,775,5,5,5,5,5,5,3,5,4,4,5,4,5,5,1,17.0,satisfied,Converted
37076,167242,Male,Loyal Customer,47,Business travel,Business,580,5,5,5,5,2,4,4,4,4,4,4,5,4,5,3,0.0,satisfied,Converted
39937,179693,Male,disloyal Customer,29,Business travel,Business,1153,0,1,1,2,4,1,4,4,3,2,4,5,4,4,36,27.0,satisfied,Converted
103497,133277,Female,Loyal Customer,60,Business travel,Business,2521,3,3,3,3,5,3,5,5,5,5,5,5,5,5,0,0.0,satisfied,Converted
54735,99914,Male,Loyal Customer,35,Business travel,Business,2715,1,1,1,1,4,4,4,2,3,4,5,4,2,4,7,3.0,satisfied,Converted
90094,74502,Male,Loyal Customer,36,Business travel,Business,194,1,1,1,1,4,3,2,5,5,5,5,4,5,2,0,11.0,satisfied,Converted
7205,130435,Male,Loyal Customer,47,Business travel,Business,1846,5,5,5,5,5,4,4,5,5,5,5,3,5,3,0,1.0,satisfied,Converted
22324,128807,Male,Loyal Customer,55,Business travel,Business,1739,5,3,5,5,4,5,5,5,5,5,5,3,5,3,0,1.0,satisfied,Not Converted
69424,118759,Female,Loyal Customer,49,Business travel,Eco,590,2,5,5,5,5,3,4,2,2,2,2,4,2,5,68,66.0,satisfied,Converted
34738,116050,Male,disloyal Customer,40,Business travel,Eco,67,0,0,0,2,5,0,5,5,3,4,1,3,1,5,0,0.0,satisfied,Converted
6793,168873,Female,Loyal Customer,50,Business travel,Business,2574,2,2,1,2,4,4,5,3,3,4,3,3,3,4,83,80.0,satisfied,Converted
88027,113301,Male,Loyal Customer,46,Business travel,Business,129,0,4,0,4,3,5,3,5,5,5,5,5,5,2,0,0.0,satisfied,Converted
24482,194394,Female,Loyal Customer,53,Business travel,Business,600,5,5,5,5,5,5,4,5,5,5,5,4,5,4,18,37.0,satisfied,Converted
17071,99312,Female,Loyal Customer,45,Business travel,Business,2311,2,2,2,2,3,4,4,5,5,5,5,3,5,3,22,5.0,satisfied,Converted
90935,176486,Male,Loyal Customer,34,Business travel,Business,2360,1,1,1,1,3,4,5,4,4,4,4,5,4,3,13,0.0,satisfied,Converted
51359,166827,Male,Loyal Customer,58,Business travel,Business,1650,3,3,3,3,4,5,4,5,5,5,5,3,5,5,0,0.0,satisfied,Converted
66183,200346,Female,Loyal Customer,39,Business travel,Business,3085,4,4,4,4,4,4,4,4,4,4,4,3,4,3,0,0.0,satisfied,Not Converted
16728,189986,Female,Loyal Customer,48,Business travel,Business,3178,0,0,0,4,4,5,4,1,1,1,1,4,1,4,0,0.0,satisfied,Converted
9642,169228,Male,Loyal Customer,44,Business travel,Business,2626,1,1,5,1,5,4,4,2,2,3,2,4,2,5,14,0.0,satisfied,Converted
17226,182599,Female,Loyal Customer,54,Business travel,Business,1703,1,1,1,1,3,4,5,4,4,4,4,4,4,4,7,29.0,satisfied,Converted
21379,72231,Male,Loyal Customer,60,Business travel,Business,102,1,1,5,1,2,5,5,5,5,5,5,4,5,3,0,0.0,satisfied,Converted
26182,99236,Female,Loyal Customer,48,Personal Travel,Eco,1448,0,1,0,3,3,3,2,2,2,1,2,4,2,2,0,2.0,satisfied,Converted
21046,73931,Female,Loyal Customer,40,Business travel,Business,280,5,5,5,5,4,4,5,5,5,5,5,3,5,4,48,74.0,satisfied,Not Converted
41250,166294,Male,Loyal Customer,58,Business travel,Business,3591,4,4,4,4,3,4,5,4,4,4,4,5,4,4,0,0.0,satisfied,Converted
17075,178103,Male,Loyal Customer,47,Business travel,Business,516,2,2,2,2,5,5,5,4,4,4,4,3,4,5,0,0.0,satisfied,Converted
7905,149832,Male,Loyal Customer,44,Business travel,Business,666,2,2,5,2,5,5,4,4,4,4,4,5,4,5,0,0.0,satisfied,Converted
100862,134610,Male,disloyal Customer,39,Business travel,Business,372,3,3,3,3,3,3,3,3,4,3,5,3,5,3,26,21.0,satisfied,Converted
59133,123575,Female,Loyal Customer,36,Business travel,Business,509,3,3,3,3,2,5,4,5,5,5,5,4,5,1,0,0.0,satisfied,Converted
86799,128454,Male,Loyal Customer,48,Business travel,Business,2133,3,3,3,3,4,3,5,5,5,5,5,4,5,4,0,0.0,satisfied,Converted
89655,169980,Male,Loyal Customer,56,Business travel,Business,2407,5,5,4,5,2,2,2,5,5,4,4,2,3,2,357,362.0,satisfied,Converted
59851,136149,Female,disloyal Customer,26,Business travel,Business,282,5,0,5,3,1,5,1,1,3,2,5,4,4,1,0,0.0,satisfied,Converted
12731,189903,Male,Loyal Customer,57,Business travel,Business,3455,2,2,2,2,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
15331,162828,Male,Loyal Customer,58,Business travel,Business,549,4,4,4,4,4,5,5,5,5,5,5,4,5,5,0,0.0,satisfied,Converted
70937,153198,Male,Loyal Customer,40,Business travel,Business,1416,1,1,1,1,2,4,5,4,4,4,4,4,4,5,0,0.0,satisfied,Converted
58965,85969,Male,Loyal Customer,39,Business travel,Business,1021,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
57633,198645,Female,Loyal Customer,54,Business travel,Business,1460,1,1,1,1,3,5,5,4,4,4,4,3,4,5,0,0.0,satisfied,Converted
11788,130113,Male,Loyal Customer,52,Business travel,Business,4243,2,2,2,2,4,4,4,5,2,5,4,4,3,4,52,46.0,satisfied,Converted
34641,109678,Male,Loyal Customer,58,Business travel,Business,1173,2,2,2,2,1,5,4,5,5,5,5,1,5,5,0,0.0,satisfied,Converted
86508,139803,Female,Loyal Customer,40,Business travel,Business,2374,2,2,2,2,4,4,5,5,5,5,5,3,5,3,0,0.0,satisfied,Converted
92359,104605,Male,Loyal Customer,39,Business travel,Eco Plus,163,4,1,1,1,4,4,4,4,4,3,2,4,1,4,0,0.0,satisfied,Converted
1440,123313,Male,Loyal Customer,44,Business travel,Business,507,4,4,4,4,5,4,1,4,4,4,4,1,4,2,25,24.0,satisfied,Converted
61059,81470,Female,Loyal Customer,55,Business travel,Business,596,1,1,3,1,2,5,5,4,4,4,4,5,4,3,0,0.0,satisfied,Not Converted
10986,114476,Female,Loyal Customer,64,Personal Travel,Eco,391,5,3,5,4,2,3,3,1,1,5,1,4,1,2,0,0.0,satisfied,Not Converted
22060,105950,Female,Loyal Customer,43,Business travel,Business,1598,4,3,4,4,4,4,4,4,4,4,4,5,4,3,0,0.0,satisfied,Converted
29002,114678,Male,disloyal Customer,39,Business travel,Eco,463,5,0,5,4,4,5,4,4,5,5,3,4,1,4,0,0.0,satisfied,Converted
73164,132751,Male,Loyal Customer,58,Business travel,Business,2210,2,2,4,2,2,4,4,5,5,5,5,4,5,4,6,0.0,satisfied,Not Converted
14003,73122,Female,Loyal Customer,46,Business travel,Business,364,3,3,3,3,5,5,4,4,4,4,4,3,4,5,0,1.0,satisfied,Converted
87953,167098,Male,Loyal Customer,36,Business travel,Business,237,4,4,4,4,4,5,4,4,4,4,4,3,4,4,0,15.0,satisfied,Not Converted
8509,83677,Female,Loyal Customer,47,Business travel,Business,3003,1,1,1,1,1,4,3,4,4,5,4,2,4,5,0,17.0,satisfied,Converted
14186,123385,Male,disloyal Customer,39,Business travel,Business,347,5,5,5,1,1,5,1,1,4,5,4,2,3,1,0,0.0,satisfied,Converted
10697,105900,Male,Loyal Customer,46,Business travel,Eco,1990,5,2,2,2,5,5,5,5,2,3,4,2,1,5,2,7.0,satisfied,Converted
8206,77007,Male,Loyal Customer,55,Business travel,Business,1878,5,5,5,5,2,4,5,4,4,5,4,4,4,4,0,0.0,satisfied,Converted
46852,200284,Male,Loyal Customer,58,Business travel,Business,2565,2,2,2,2,4,4,4,4,5,3,4,4,3,4,0,0.0,satisfied,Converted
102118,140263,Male,Loyal Customer,46,Business travel,Business,3666,2,2,2,2,2,4,5,3,3,4,3,5,3,4,0,0.0,satisfied,Converted
11402,162213,Male,Loyal Customer,53,Business travel,Business,581,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
91949,125206,Female,Loyal Customer,43,Business travel,Business,191,0,4,0,4,2,2,3,2,2,2,2,1,2,3,0,0.0,satisfied,Converted
9212,155120,Female,Loyal Customer,39,Business travel,Business,577,3,3,3,3,2,4,5,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
46104,181215,Male,Loyal Customer,59,Business travel,Business,3652,3,3,3,3,4,5,4,3,3,3,3,5,3,3,15,0.0,satisfied,Converted
99722,99404,Female,Loyal Customer,49,Business travel,Business,1776,4,4,4,4,5,5,5,4,4,4,4,3,4,4,0,0.0,satisfied,Converted
77582,189927,Female,Loyal Customer,56,Business travel,Business,1531,3,3,3,3,4,5,4,4,4,4,4,5,4,4,36,29.0,satisfied,Converted
3836,112138,Male,Loyal Customer,27,Business travel,Eco,590,4,1,1,1,4,4,4,4,5,4,3,5,1,4,0,0.0,satisfied,Converted
38746,103684,Male,Loyal Customer,32,Business travel,Business,3338,4,4,4,4,5,4,4,5,1,3,2,2,3,5,0,1.0,satisfied,Converted
86160,157099,Male,Loyal Customer,34,Business travel,Business,1547,2,2,1,2,4,5,4,4,4,4,4,5,4,3,1,0.0,satisfied,Not Converted
14143,85783,Male,Loyal Customer,39,Business travel,Eco Plus,1215,4,3,3,3,4,4,4,4,1,3,3,3,5,4,1,0.0,satisfied,Converted
67062,167727,Female,Loyal Customer,47,Business travel,Business,359,4,4,4,4,2,4,5,5,5,5,5,5,5,3,0,0.0,satisfied,Converted
87861,160969,Female,Loyal Customer,40,Business travel,Business,3415,3,3,3,3,3,4,5,4,4,4,4,3,4,5,17,0.0,satisfied,Converted
37707,172787,Female,Loyal Customer,44,Business travel,Business,2694,5,5,5,5,4,5,4,5,5,5,5,3,5,3,28,25.0,satisfied,Converted
16302,142323,Female,Loyal Customer,51,Business travel,Business,2039,2,2,3,2,4,5,5,4,4,4,4,5,4,5,0,0.0,satisfied,Converted
29301,131571,Male,Loyal Customer,10,Personal Travel,Eco,1050,4,5,3,2,3,3,4,3,5,5,4,3,5,3,0,0.0,satisfied,Converted
23054,97970,Male,Loyal Customer,46,Business travel,Business,2751,4,4,1,4,4,4,5,5,5,5,5,3,5,4,0,0.0,satisfied,Converted
67670,131740,Male,Loyal Customer,47,Business travel,Business,1024,1,1,1,1,3,5,4,5,5,5,5,5,5,5,0,0.0,satisfied,Converted
21172,109753,Male,Loyal Customer,31,Business travel,Business,1050,4,2,4,4,4,4,4,4,4,3,3,5,5,4,0,18.0,satisfied,Converted
30561,180416,Female,disloyal Customer,26,Business travel,Business,781,0,0,0,2,3,0,3,3,5,5,5,3,5,3,15,15.0,satisfied,Converted
89757,152926,Female,Loyal Customer,45,Business travel,Business,1124,5,5,5,5,2,4,5,5,5,5,5,3,5,5,0,0.0,satisfied,Converted
46774,99354,Male,Loyal Customer,42,Business travel,Business,1774,4,4,4,4,2,4,2,4,4,4,4,5,4,3,0,0.0,satisfied,Converted
39755,163380,Female,Loyal Customer,58,Business travel,Business,2475,3,3,3,3,3,5,4,4,4,4,4,3,4,4,0,0.0,satisfied,Converted
91444,193760,Female,disloyal Customer,24,Business travel,Business,529,4,5,4,4,3,4,5,3,5,3,5,3,4,3,0,0.0,satisfied,Not Converted
17079,179368,Female,Loyal Customer,30,Business travel,Business,1717,5,5,5,5,4,4,4,4,3,3,5,4,5,4,36,36.0,satisfied,Converted
43,99727,Female,Loyal Customer,38,Business travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,satisfied,Converted
37218,146028,Female,Loyal Customer,15,Business travel,Business,1438,5,5,1,5,4,4,4,4,3,5,2,4,1,4,6,0.0,satisfied,Converted
95422,109413,Female,Loyal Customer,49,Business travel,Business,1211,5,5,5,5,3,4,4,5,3,4,5,4,2,4,138,142.0,satisfied,Converted
51790,198608,Female,Loyal Customer,58,Business travel,Business,647,1,1,1,1,3,4,5,4,4,4,4,3,4,3,2,0.0,satisfied,Converted
10370,96059,Female,Loyal Customer,25,Business travel,Business,3606,2,2,2,2,4,4,4,4,5,1,2,1,4,4,0,0.0,satisfied,Converted
32397,82822,Male,Loyal Customer,57,Business travel,Business,1810,4,4,4,4,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied,Converted
53475,82299,Female,Loyal Customer,39,Business travel,Business,216,3,3,3,3,5,4,5,4,4,4,4,3,4,4,0,0.0,satisfied,Converted
44737,99096,Male,Loyal Customer,44,Business travel,Business,1107,4,4,3,4,4,1,3,4,4,4,4,5,4,2,0,0.0,satisfied,Converted
62760,161698,Male,Loyal Customer,36,Business travel,Eco,373,4,1,1,1,4,4,4,4,1,4,2,5,5,4,0,0.0,satisfied,Not Converted
25827,117940,Female,Loyal Customer,47,Business travel,Eco,125,3,1,1,1,1,3,1,3,3,3,3,3,3,5,26,35.0,satisfied,Converted
90452,149577,Female,Loyal Customer,49,Business travel,Business,259,2,2,2,2,4,4,4,5,5,5,5,3,5,3,2,0.0,satisfied,Not Converted
235,83667,Male,Loyal Customer,48,Business travel,Business,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,satisfied,Converted
72435,97310,Female,Loyal Customer,46,Business travel,Eco Plus,907,4,3,2,3,1,1,1,5,5,4,5,1,5,2,0,0.0,satisfied,Not Converted
30548,73326,Male,Loyal Customer,48,Business travel,Business,351,0,0,0,3,5,5,4,3,3,3,3,5,3,3,80,76.0,satisfied,Converted
60319,104989,Female,Loyal Customer,51,Business travel,Eco,399,5,5,2,5,2,3,3,5,5,5,5,1,5,5,0,0.0,satisfied,Converted
34645,80890,Male,Loyal Customer,47,Business travel,Business,2479,0,0,0,3,5,5,5,1,1,1,1,3,1,4,30,34.0,satisfied,Converted
6775,186160,Male,Loyal Customer,55,Business travel,Business,296,3,4,3,3,5,5,4,4,4,4,4,4,4,5,27,19.0,satisfied,Converted
50018,175613,Male,Loyal Customer,23,Business travel,Business,2704,4,4,4,4,5,5,5,5,5,2,4,4,4,5,12,15.0,satisfied,Converted
101410,76048,Female,Loyal Customer,41,Business travel,Business,364,3,3,3,3,5,4,5,4,4,4,4,3,4,5,0,0.0,satisfied,Converted
